studentId,classID,courseId
SV001,CN2404CLCA,OS
SV001,CN2404CLCA,SE
SV001,CN2404CLCA,CTDL
SV002,CN2404CLCB,OS
SV002,CN2404CLCB,SE
SV002,CN2404CLCB,CTDL
SV003,CN2404CLCA,OS
SV003,CN2404CLCA,SE
SV003,CN2404CLCA,CTDL
SV004,CN2404CLCD,OS
SV004,CN2404CLCD,SE
SV004,CN2404CLCD,CTDL
SV005,CN2404CLCA,OS
SV005,CN2404CLCA,SE
SV005,CN2404CLCA,CTDL
SV006,CN2404CLCD,OS
SV006,CN2404CLCD,SE
SV006,CN2404CLCD,CTDL
SV007,CN2404CLCB,OS
SV007,CN2404CLCB,SE
SV007,CN2404CLCB,CTDL
SV008,CN2404CLCB,OS
SV008,CN2404CLCB,SE
SV008,CN2404CLCB,CTDL
SV009,CN2404CLCD,OS
SV009,CN2404CLCD,SE
SV009,CN2404CLCD,CTDL
SV010,CN2404CLCA,OS
SV010,CN2404CLCA,SE
SV010,CN2404CLCA,CTDL